review,sentiment,reasoning,ground_truth,satisfaction_score,message,discount_code
"My short trip to Dubrovnik was a letdown. I doubt I'd tell anyone to use this service. The old city was nice, but the rest of the tour was poorly organized. You should offer better customer support in emergencies. I’m not sure I’ll consider you again, but if I did, I'd pick Split hoping for a better experience.",negative,"The reviewer expresses disappointment and frustration throughout the review, using negative language such as 'letdown', 'poorly organized', and stating that they wouldn't recommend the service.",negative,2,"Dear valued customer, I'm sorry to hear that your trip to Dubrovnik didn't meet your expectations. We apologize for any inconvenience caused by the poorly organized tour and lack of support in emergencies. We're taking your feedback seriously and will work on improving our services. As a token of apology, we'd like to offer you a 25% discount on your next booking with us. Please use the code DUBROVNIK25 at checkout. Thank you for sharing your experience with us, and we hope to have the opportunity to serve you better in the future.",DUBROVNIK25
"I spent five days in Berlin, and it wasn’t worth the cost. I’ve already warned friends about it. The nightlife was okay, but that's the only positive. Please provide clearer travel instructions and better flights. I’m really on the fence about booking again, maybe I'd try Munich if things improve.",negative,"The customer expresses dissatisfaction with their experience in Berlin, stating it wasn't worth the cost and is hesitant to book again. The only positive comment made was about the nightlife being 'okay'.",negative,2,"Dear [Customer], we're sorry to hear that your recent trip to Berlin didn't meet your expectations. We apologize for any inconvenience you experienced during your travels. We take all feedback seriously and will use it to improve our travel instructions and flight options. As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with us. Simply enter the code BERLIN25 at checkout. Thank you for sharing your thoughts with us.",BERLIN25
"We did a four-day trip to Vienna. It didn’t meet our expectations, and I don’t plan on recommending it. The music scene was the only highlight. Improve your hotel selection and communication. I doubt I'll return with you, but if I do, I'd consider Prague hoping for better service.",negative,"The review mentions that the trip did not meet their expectations, they don't plan on recommending it and express doubt about returning.",negative,2,"Dear valued customer, I am sorry to hear that your recent trip to Vienna did not meet your expectations. We take all feedback seriously and are taking steps to improve our hotel selection and communication for future travelers. On a positive note, we're glad you enjoyed the music scene! As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with us. Please use the code VIE25 at checkout. Thank you for sharing your feedback with us.",VIE25
"I visited the Amalfi Coast for three days, and it was more trouble than it was worth. I wouldn’t point a friend in this direction. The coastal scenery was beautiful, but logistics were a mess. Please improve your transport coordination. I'm unlikely to try again, but maybe I'd give Capri a shot if things get better.",negative,"The customer explicitly states that the experience was 'more trouble than it was worth' and wouldn't recommend it to a friend, indicating negative sentiment. Although they mention some positive aspects (the coastal scenery), their overall tone is critical and highlights specific issues (logistics were a mess)",negative,2,"Dear valued customer, I am so sorry to hear that your recent trip to the Amalfi Coast did not meet your expectations. I apologize for any inconvenience you experienced with our transport coordination. We take all feedback seriously and are actively working to improve this aspect of our service. As a token of apology and appreciation for your honest feedback, we would like to offer you a 25% discount on your next booking. Please use the code AMALFI25 at checkout. Thank you again for sharing your concerns with us.",AMALFI25
"My weekend trip to Lisbon was confusing and lacked proper guidance. I won't recommend this service. I did enjoy the local pastries, though. Work on better itinerary planning. I'm not enthusiastic about booking again, but if I do, maybe I'll consider Porto.",negative,"The customer expresses dissatisfaction with the service, mentioning it was 'confusing' and lacked proper guidance, which makes them unwilling to recommend it. They do mention one positive aspect (enjoying local pastries), but this is not enough to outweigh the negative comments.",negative,3,"Dear valued customer, we apologize for the inconvenience and confusion you experienced on your weekend trip to Lisbon. We understand that our lack of proper guidance affected your overall experience. Please rest assured that we take all feedback seriously and will work on improving our itinerary planning to ensure future customers have a more enjoyable journey.", LIS25-EXPRESS
"I stayed in Madrid for five days, and it was underwhelming. I wouldn't recommend it. The local markets were decent, but everything else felt poorly organized. You need better on-site representatives. I'm hesitant to try again, but maybe I'd look into Seville if improvements are made.",negative,"The customer states that their experience was 'underwhelming' and wouldn't recommend it, indicating a negative sentiment.",negative,2,"Dear valued customer, we apologize that your experience in Madrid did not meet your expectations. We take your concerns about poorly organized activities and lack of on-site representatives seriously and will look into improving these aspects for future travelers. Thank you for sharing your feedback, which helps us to better serve our customers. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with a custom discount code MADR20.",MADR20
"My four-day experience in Budapest was marred by disorganization. I won't be advising others to book. The thermal baths were the only highlight. Better communication about local tours is needed. I’m unsure if I'd come back with you, maybe if there's a special offer for Lake Balaton.",negative,"The review mentions 'marred by disorganization', 'won't be advising others to book' and expresses uncertainty about returning with the company, indicating a negative sentiment overall.",negative,3,"Dear valued customer, I'm so sorry to hear that your experience in Budapest was disappointing. We apologize for any inconvenience caused by our disorganization. We take all feedback seriously and will definitely work on improving our communication about local tours. Thank you for highlighting the thermal baths as a highlight - we're glad you enjoyed those! As a token of apology, we'd like to offer you 25% off your next trip with us. Please use the code BUDAPEST25 at checkout. We appreciate your feedback and hope to have the opportunity to serve you better in the future.",BUDAPEST25
"I traveled to Jordan for a five-day trip, and it was chaotic. I wouldn't suggest it to friends. Petra was amazing, but transport was a nightmare. Improve your schedules and local partnerships. I doubt I’ll be booking again, but maybe Wadi Rum if there's a serious upgrade in service.",negative,"The reviewer states that their overall experience was 'chaotic', they wouldn't suggest it to friends, and expresses doubt about booking again. The only positive comment is about Petra being 'amazing', but this is overshadowed by the negative comments.",negative,2,"Dear valued customer, we apologize for the inconvenience you experienced during your recent trip to Jordan. We understand that transport issues can be frustrating and appreciate you bringing this to our attention. We are constantly working to improve our schedules and local partnerships to ensure a smoother experience for all our travelers. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with us. Please use the code JORDANREVIEW at checkout. Thank you again for your feedback, which helps us to better serve our customers.",JORDANREVIEW
"I spent four days in Marrakesh, and it didn’t live up to expectations. I won’t recommend this to anyone. The local markets were interesting, but that’s about it. Communication and safety info need to be better. I’m not likely to return, but maybe Fez if there's a big improvement.",negative,"The reviewer states that their experience didn't live up to expectations, won't recommend it, and mentions specific issues with communication and safety.",negative,2,"Dear valued customer, we're sorry to hear that your trip to Marrakesh didn't meet your expectations. We take all feedback seriously and are committed to improving our services. We appreciate you bringing up the importance of better communication and safety information, which we will definitely take into consideration for future travelers. Thank you for sharing your concerns with us.",MARR25
"My three-day trip to the French Riviera was too expensive for what was offered. I wouldn't recommend it to a friend. The beaches were picturesque, but the tour options were lacking. Please improve your excursion selections. Not sure I'll use you again, maybe I'd look elsewhere in France if you fix issues.",negative,"The customer explicitly states that the trip was too expensive and wouldn't recommend it to a friend, indicating overall dissatisfaction.",negative,2,"Dear valued customer, we apologize that your recent trip to the French Riviera did not meet your expectations. We take all feedback seriously and will consider your comments about our tour options. We are committed to providing a high-quality experience for all our travelers. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with us. Please use the code RIVIERAREVISE25 at checkout.",RIVIERAREVISE25
"I spent a weekend in Prague, and I was disappointed. I won't be telling my friends about this. The city architecture was charming, but the travel arrangements were disorganized. I suggest better coordination with local guides. I’m not planning to return, but if I do, I'd consider a different package entirely.",negative,"The customer expresses disappointment and says they won't be recommending the destination to friends, mentioning disorganized travel arrangements as a main issue.",negative,2,"Dear valued customer, we're truly sorry to hear that your recent trip to Prague didn't meet your expectations. We apologize for any inconvenience caused by disorganized travel arrangements and appreciate you taking the time to share your feedback. We're constantly working to improve our services, and your input is invaluable in helping us achieve this goal. To show our commitment to providing a better experience, we'd like to offer you a 25% discount on your next booking with us. Simply use the code PRAGUE25 at checkout. Thank you again for your feedback and for choosing our company.",PRAGUE25
"My five-day trip to Cyprus felt like a rip-off. I'd never tell a friend to go with your agency. The beaches looked nice, but your hotel choices were subpar. Improve the accommodation standards. I probably won’t come back, but if things change, maybe I'd try Paphos.",negative,"The review starts by calling the trip a 'rip-off', expresses strong disappointment and frustration, and states that they wouldn't recommend the agency to friends. The only slightly positive comment is the mention of the beaches looking nice, but this isn't enough to outweigh the overwhelmingly negative tone.",negative,1,"Dear [Customer], I am so sorry to hear that your experience in Cyprus fell short of your expectations. We take all feedback seriously and are truly disappointed that our hotel choices did not meet your standards. I want to assure you that we will use this opportunity to improve our accommodation options for future travelers. As a token of our apology, we would like to offer you 25% off your next booking with us using the code CYPRUS25. Thank you for sharing your feedback and giving us the chance to make things right.",CYPRUS25
"Four days in Santorini sounded amazing, but was poorly executed. I'm not recommending this trip. The sunset views were fine, but everything else was disorganized. You need better local partners. I’m unlikely to book again, maybe I'd consider Rhodes if there are improvements.",negative,"The review states that the trip was 'poorly executed', everything else was 'disorganized', and the reviewer is unlikely to book again.",negative,2,"Dear [Customer], we apologize for the disappointing experience you had on your recent trip to Santorini. We take all concerns seriously and are committed to improving our services. We understand that everything did not go as planned, and we will look into working with better local partners to ensure a more enjoyable journey. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking. Please use the code SANTORINI25 at checkout. Thank you for sharing your feedback, it's invaluable in helping us grow and improve.",SANTORINI25
"My three-day trip to Munich was frustrating. I wouldn't recommend it to friends. The beer gardens were okay, but the rest was chaotic. Please offer clearer transport details. I might give it another try if you fix these issues, maybe in Berlin.",negative,"The review starts with a negative phrase 'frustrating', mentions not recommending it to friends, and describes the experience as chaotic. The only slightly positive comment is about the beer gardens being 'okay'. However, this is outweighed by the overall negative tone.",negative,3,"Dear valued customer, we apologize for the frustration you experienced during your trip to Munich. We understand that the lack of clear transport details caused inconvenience and chaos. We take these concerns seriously and will make sure to provide more detailed information in the future. Thank you for bringing this to our attention, which helps us improve our services.",MUNICH25
"I spent a week in Florence. It was a letdown, and I won't be telling friends. The art was nice, but the tours were mismanaged. You should improve your itineraries. I'm unsure I'll try again, but maybe Venice if there's a major change.",negative,"The review starts by stating that the experience was a 'letdown' and mentions not recommending it to friends, which indicates a negative sentiment. Although the reviewer does mention some positive aspects (the art being 'nice'), these are overshadowed by their criticisms of the tours.",negative,2,"Dear valued customer, we're sorry to hear that your experience in Florence didn't meet your expectations. We apologize for the mismanaged tours and any inconvenience it caused. We'll definitely take your feedback into consideration to improve our itineraries. As a token of apology, we'd like to offer you a 25% discount on your next booking with us. Please use the code FLO15 at checkout. Your input is invaluable in helping us provide better services to our customers. Thank you for sharing your thoughts.",FLO15
"My four-day stay in Lebanon was chaotic. I cannot recommend it. Beirut’s nightlife was decent, but airport transfers were a mess. Provide better documentation and driver info. I’m not eager to return, but I'd consider Byblos only if improvements are made.",negative,"The review mentions that the stay was 'chaotic', airport transfers were a 'mess', and the reviewer is not eager to return, indicating overall dissatisfaction.",negative,2,"Dear valued customer, we apologize that your trip to Lebanon was not up to par. We take all concerns seriously and are sorry to hear that our airport transfers caused inconvenience. We will work on providing better documentation and driver information for future bookings. Your feedback is invaluable in helping us improve. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with a custom code: LEBDISCOUNT25. Thank you for taking the time to share your experience.",LEBDISCOUNT25
"I visited Dubai for five days, and it was overpriced for the service I got. I wouldn't tell my friends about it. The skyline was impressive, but the travel details were poorly handled. Improve your flight and hotel combos. I'm hesitant to come back, maybe I'd try Abu Dhabi with a better plan.",negative,"The review mentions that the experience was 'overpriced for the service I got', the travel details were 'poorly handled', and the reviewer wouldn't recommend it to their friends, indicating a negative sentiment.",negative,2,"Dear valued customer, we apologize that your recent trip to Dubai did not meet your expectations. We take all feedback seriously and are working to improve our flight and hotel combos to better serve our customers. As a gesture of goodwill, please use the code DUBAI25 at checkout for 25% off your next booking. Thank you for sharing your concerns with us.",DUBAI25
"My three-day trip to Malta did not go smoothly. I'm not recommending it. The water was pretty, but the excursion booking was awful. You must streamline the booking process. I'd consider returning only if you fix these issues—maybe Gozo next time.",negative,"The customer mentions that the trip 'did not go smoothly', explicitly states they're 'not recommending it' and highlights an issue with the booking process.",negative,3,"Dear valued customer, we apologize for the inconvenience you experienced during your three-day trip to Malta. We're sorry to hear that our excursion booking process did not meet your expectations. We take all feedback seriously and are taking steps to streamline this process to ensure a smoother experience for future travelers. As a token of apology, we'd like to offer you a 25% discount on your next booking with us. Please use the code MALTA25 at checkout. Thank you for sharing your thoughts with us.",MALTA25
"I went to Marrakech for a weekend, and it wasn't enjoyable. I wouldn't advise my friends to go. The souks were interesting, but there was no proper guidance. Better pre-trip info would help. I don’t see myself using you again, maybe I'd try Casablanca if things improve.",negative,"The customer states that their experience was 'not enjoyable', wouldn't advise friends to go, and explicitly says they won't use the service again.",negative,2,"Dear valued customer, I'm so sorry to hear that your trip to Marrakech wasn't enjoyable. We appreciate you taking the time to share your feedback with us. At our company, we strive to provide the best possible experience for our customers, and it's clear that we fell short in this case. In terms of guidance during your trip, I apologize that we didn't provide enough information beforehand. This is an area where we can improve, and we will take your feedback into consideration. As a token of apology, I'd like to offer you a 25% discount on your next booking with us, using the code MARRAKECH25. Thank you again for sharing your thoughts with us.",MARRAKECH25
"My four-day visit to Naples was disappointing. I won't be telling others to use this service. The pizza was good, but everything else felt disorganized. Communication with local guides needs an overhaul. I doubt I'll return, but maybe I'd consider the Amalfi Coast someday.",negative,"The review starts off negatively mentioning a 'disappointing' visit and stating that they won't recommend the service. Although it mentions some positive aspects like good pizza, the negative comments about disorganization and poor communication outweigh these positives.",negative,2,"Dear valued customer, we're sorry to hear that your four-day visit to Naples was disappointing. We apologize for any disorganization or lack of communication with local guides during your trip. We take all feedback seriously and will work on improving our services to provide a better experience in the future. Thank you for sharing your concerns with us.",NAPELS25
"Five days in Rhodes sounded great but fell short. I'm not recommending it. The beaches were decent, but the insurance options were confusing. Offer clearer policies. I’m not sure I’ll book again; maybe I'd try Crete if improvements are made.",negative,The review expresses dissatisfaction with the experience and does not mention any positive aspects.,negative,2,"Dear [Customer], we apologize that your recent trip to Rhodes did not meet your expectations. We take all concerns seriously and would like to address the issue with our insurance options being confusing. We will make sure to clarify our policies for future bookings. As a token of apology, we would like to offer you a 25% discount on your next booking with us. Please use the custom discount code RHO-APOL24 at checkout. Thank you for taking the time to provide feedback, which is invaluable in helping us improve our services.",RHO-APOL24
"I had a three-day trip to Monaco, and it felt like a waste. I wouldn’t recommend it. The luxurious vibe was overshadowed by poor planning. Provide better mid-range options. I doubt I’ll come back, but if I do, maybe I'd see a different side of the Riviera.",negative,"The review expresses overall disappointment and unwillingness to recommend, citing poor planning as the main issue.",negative,2,"Dear valued customer, we apologize that your recent trip to Monaco did not meet your expectations. We understand how poor planning can overshadow the luxurious vibe of this beautiful destination. We appreciate you bringing this to our attention and would like to offer a 25% discount on your next booking with us. Please use code MONACO25 at checkout. Your feedback is invaluable in helping us improve our services. Thank you for sharing your experience.",MONACO25
"My four-day trip to Tel Aviv left me unimpressed. I won't be suggesting it. The beach was nice, but the scheduling was a mess. Improve your excursion planning. I’m unlikely to use your services again, maybe I'd check Jerusalem if there's big progress.",negative,"The reviewer explicitly states they were 'unimpressed' and won't be suggesting the trip again, using negative language such as 'a mess'. The only positive comment is about the beach being 'nice', but it's not enough to outweigh the overall negative tone.",negative,2,"Dear [Customer], we're sorry to hear that your four-day trip to Tel Aviv didn't meet your expectations. We apologize for the scheduling issues you experienced during your excursion. We take all feedback seriously and will work on improving our planning processes to ensure a smoother experience for future travelers. As a token of apology, we'd like to offer you a 25% discount on your next booking with us. Simply use the code TAV25 at checkout. Thank you for sharing your concerns with us.",TAV25
"I spent a weekend in Venice and was mostly frustrated. I wouldn't recommend it to other couples. Gondola rides were nice, but the rest felt disorganized. Offer better accommodation choices. I’m not sure I’d book again; maybe I'd try Florence if things change.",negative,"The customer expressed frustration and uncertainty about returning to Venice, mentioning that the experience was 'mostly frustrated' and that they wouldn't recommend it to other couples. The only positive aspect mentioned is the gondola rides.",negative,2,"Dear valued customer, we're sorry to hear that your weekend getaway to Venice didn't meet your expectations. We apologize for the feeling of disorganization and would like to address these issues. Our team will take note of your suggestion for better accommodation choices to ensure a more enjoyable stay in the future. As a token of our appreciation for your feedback, we'd like to offer you a 25% discount on your next booking with us. Please use the code VENICE25 at checkout. Thank you again for sharing your experience with us.",VENICE25
"I traveled to Palermo for five days, and it was not satisfying. I’d warn my parents against it. The local markets were interesting, but the hotel was subpar. You should improve your vetting process. I probably won't be back, but if so, I'd check Catania hopefully under better terms.",negative,"The customer explicitly states that their experience was 'not satisfying', warns others against visiting Palermo, and mentions a subpar hotel, indicating overall negative sentiment.",negative,2,"Dear valued customer, we're sorry to hear that your trip to Palermo didn't meet your expectations. We apologize for the subpar hotel experience and any inconvenience it may have caused. We take all feedback seriously and will review our vetting process to ensure a better stay for future travelers. Thank you for sharing your concerns with us. As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with a custom code: PALERMO25",PALERMO25
"I joined a four-day tour of Marrakech. It was poorly managed, so I wouldn't suggest it. The gardens were lovely, but too many delays. Better group coordination is needed. I’m not planning on returning, but I'd consider Fes if there's a major revamp.",negative,"The reviewer mentions that the tour was 'poorly managed', had 'too many delays', and explicitly states they won't return or suggest it to others.",negative,2,"Dear [Customer], we apologize for the disappointing experience on your four-day tour of Marrakech. We understand that delays can be frustrating and appreciate you bringing this to our attention. Our team will take your feedback into consideration to improve group coordination. As a gesture of goodwill, we would like to offer you a 25% discount on your next trip with us. Please use the code MARRAKECHREVAMP at checkout. Thank you for sharing your thoughts and we hope to have the opportunity to serve you better in the future.",MARRAKECHREVAMP
"My long weekend in Sharm El Sheikh was chaotic. I won't recommend it. The snorkeling was good, but flight arrangements were confusing. Improve your flight partnerships. I doubt I'll use you again; maybe Cairo would be an option if things are fixed.",negative,"The review starts with a negative statement ('chaotic'), mentions 'I won't recommend it', and highlights several issues (confusing flight arrangements, doubt about using the service again). The only positive mention is about snorkeling, but it's not enough to outweigh the overall negativity.",negative,2,"Dear valued customer, we are truly sorry to hear that your trip to Sharm El Sheikh was not up to your expectations. We apologize for any confusion caused by our flight arrangements and understand the importance of reliable travel partnerships. We will take your feedback into consideration and work on improving our connections. As a gesture of goodwill, we would like to offer you a 25% discount on your next booking with us. Your custom discount code is SHARM15. Thank you for sharing your experience with us.",SHARM15
"I spent three days in Ibiza, but the service was lacking. I can’t recommend this to anyone. The nightlife was okay, but overall planning was terrible. You should focus on daytime excursions too. I'm likely not returning, maybe I'd see Mallorca if improvements are made.",negative,"The review starts with a negative statement about the service being 'lacking', and then explicitly states that they can't recommend it. The reviewer also mentions that overall planning was terrible.",negative,2,"Dear valued customer, we apologize that your recent trip to Ibiza fell short of your expectations. We're sorry to hear that the service was lacking and that our daytime excursions didn't meet your needs. We take all feedback seriously and are committed to improving our offerings. As a gesture of goodwill, we'd like to offer you a 25% discount on your next booking with us. Please use code IBI25 at checkout. Thank you for sharing your thoughts - your input is invaluable in helping us provide better experiences for our customers.",IBI25
"I visited the Black Forest for five days, but it was underwhelming. I wouldn't tell nature-lovers about this trip. The scenery was fine, but your itinerary was weak. Please provide more local insights. I doubt I'll come back, maybe Bavaria would be different with better planning.",negative,"The review starts with a negative statement, mentions 'underwhelming', states that they wouldn't recommend it to nature-lovers, and ends with expressing doubt about returning.",negative,2,"Dear valued customer, we apologize that your experience in the Black Forest did not meet your expectations. We understand that our itinerary may have fallen short of providing the local insights you were looking for. We take all feedback seriously and will take it into consideration to improve future trips. As a gesture of goodwill, we would like to offer you a 25% discount on your next trip with us using the code BLACKFOREST25. Thank you for sharing your thoughts with us.",BLACKFOREST25
"My four-day trip to Salzburg was not as advertised. I won't recommend it to friends. The Sound of Music tour was okay, but the rest was a mess. Better communication is needed. I'm not sure I'll try again, maybe I'd see Vienna if you improve.",negative,"The customer mentions that the trip was 'not as advertised', had a 'mess' and wouldn't recommend it to friends, indicating overall dissatisfaction.",negative,2,"Thank you for taking the time to share your experience with us. I apologize that our Salzburg trip did not meet your expectations. We understand how important it is to have a smooth and enjoyable journey, and we fell short in providing that for you. Specifically, we take issue with the limited communication and disappointing activities outside of the Sound of Music tour. We will use this feedback to improve our services and ensure better coordination for future trips. As a gesture of goodwill, we would like to offer you a 25% discount on your next trip with us. Your custom discount code is 'SALZBURG25'. We hope that this small token of apology can help rebuild trust and give you the opportunity to experience our improved services.",SALZBURG25
"I spent a week in Antalya. The experience was mediocre, and I wouldn’t recommend it to my beach-loving friends. The resort was below expectations. Offer better hotel standards. I’m not keen on returning, but if I do, I'd try Bodrum instead.",negative,"The customer used words like 'mediocre', 'below expectations', and 'not keen on returning' which indicate a negative sentiment. Additionally, the customer explicitly states they wouldn't recommend it to others.",negative,2,"Dear valued customer, we're sorry to hear that your experience in Antalya was mediocre. We apologize if our hotel standards did not meet your expectations. We appreciate your feedback and would like to make it right. As a gesture of goodwill, please use the code ANT25 at checkout to receive 25% off your next booking with us. Thank you for sharing your thoughts.",ANT25
